year,value,region
2015,4.8,northeast
2014,5.7,northeast
2013,6.9,northeast
2012,8,northeast
2011,8.1,northeast
2010,8.4,northeast
2009,8.8,northeast
2008,6.8,northeast
2007,4.7,northeast
2006,4.4,northeast
2005,4.8,northeast
2004,4.9,northeast
2003,5.7,northeast
2002,5.8,northeast
2001,5.3,northeast
2000,3.8,northeast
