year,value,region
2015,5.5,west
2014,6.2,west
2013,7.4,west
2012,8.6,west
2011,9.8,west
2010,10.8,west
2009,10.8,west
2008,8.2,west
2007,5.1,west
2006,4.5,west
2005,4.9,west
2004,5.5,west
2003,6.3,west
2002,6.5,west
2001,6.2,west
2000,4.6,west
