year,value,region
2015,4.7,midwest
2014,5.2,midwest
2013,6.7,midwest
2012,7.4,midwest
2011,7.8,midwest
2010,8.8,midwest
2009,10.1,midwest
2008,7.6,midwest
2007,5.3,midwest
2006,5,midwest
2005,5.2,midwest
2004,5.7,midwest
2003,5.8,midwest
2002,5.6,midwest
2001,5.3,midwest
2000,3.9,midwest
