Minnesota,"5,489,594",5452460.2,5415326.4,5378192.6,5341058.8,"5,303,925",5265480.4,5227035.8,5188591.2,5150146.6,5111702,5073257.4,5034812.8,4996368.2,4957923.6,"4,919,479",4865041,4810603,"4,375,099"
Mississippi,"2,992,333",2987325.8,2982318.6,2977311.4,2972304.2,"2,967,297",2955033.1,2942769.2,2930505.3,2918241.4,2905977.5,2893713.6,2881449.7,2869185.8,2856921.9,"2,844,658",2817513.8,2790369.6,"2,573,216"
Missouri,"6,083,672",6064723,6045774,6026825,6007876,"5,988,927",5949555.4,5910183.8,5870812.2,5831440.6,5792069,5752697.4,5713325.8,5673954.2,5634582.6,"5,595,211",5547397.2,5499583.4,"5,117,073"
Montana,"1,032,949",1024242.2,1015535.4,1006828.6,998121.8,"989,415",980693,971971,963249,954527,945805,937083,928361,919639,910917,"902,195",891882,881569,"799,065"
Nebraska,"1,896,190",1882220.2,1868250.4,1854280.6,1840310.8,"1,826,341",1814833.2,1803325.4,1791817.6,1780309.8,1768802,1757294.2,1745786.4,1734278.6,1722770.8,"1,711,263",1697975.2,1684687.4,"1,578,385"
Nevada,"2,890,845",2852786.2,2814727.4,2776668.6,2738609.8,"2,700,551",2630321.6,2560092.2,2489862.8,2419633.4,2349404,2279174.6,2208945.2,2138715.8,2068486.4,"1,998,257",1918614.6,1838972.2,"1,201,833"
New Hampshire,"1,330,608",1327780.8,1324953.6,1322126.4,1319299.2,"1,316,472",1308403.4,1300334.8,1292266.2,1284197.6,1276129,1268060.4,1259991.8,1251923.2,1243854.6,"1,235,786",1223132.6,1210479.2,"1,109,252"
New Jersey,"8,958,013",8924789.2,8891565.4,8858341.6,8825117.8,"8,791,894",8754139.6,8716385.2,8678630.8,8640876.4,8603122,8565367.6,8527613.2,8489858.8,8452104.4,"8,414,350",8345933.8,8277517.6,"7,730,188"
New Mexico,"2,085,109",2079923.2,2074737.4,2069551.6,2064365.8,"2,059,180",2035166.6,2011153.2,1987139.8,1963126.4,1939113,1915099.6,1891086.2,1867072.8,1843059.4,"1,819,046",1788648.3,1758250.6,"1,515,069"
New York,"19,795,791",19712253.6,19628716.2,19545178.8,19461641.4,"19,378,104",19337939.3,19297774.6,19257609.9,19217445.2,19177280.5,19137115.8,19096951.1,19056786.4,19016621.7,"18,976,457",18877856.8,18779256.6,"17,990,455"
North Carolina,"10,042,802",9941336.6,9839871.2,9738405.8,9636940.4,"9,535,475",9386858.8,9238242.6,9089626.4,8941010.2,8792394,8643777.8,8495161.6,8346545.4,8197929.2,"8,049,313",7907245.4,7765177.8,"6,628,637"
North Dakota,"756,927",740059.8,723192.6,706325.4,689458.2,"672,591",669551.9,666512.8,663473.7,660434.6,657395.5,654356.4,651317.3,648278.2,645239.1,"642,200",641860,641520,"638,800"
Ohio,"11,613,423",11598038.8,11582654.6,11567270.4,11551886.2,"11,536,502",11518165.8,11499829.6,11481493.4,11463157.2,11444821,11426484.8,11408148.6,11389812.4,11371476.2,"11,353,140",11302537.5,11251935,"10,847,115"
Oklahoma,"3,911,338",3879341.2,3847344.4,3815347.6,3783350.8,"3,751,354",3721284,3691214,3661144,3631074,3601004,3570934,3540864,3510794,3480724,"3,450,654",3420147.1,3389640.2,"3,145,585"
Oregon,"4,028,977",3989396.4,3949815.8,3910235.2,3870654.6,"3,831,074",3790106.5,3749139,3708171.5,3667204,3626236.5,3585269,3544301.5,3503334,3462366.5,"3,421,399",3363491.2,3305583.4,"2,842,321"
Pennsylvania,"12,802,503",12782478.2,12762453.4,12742428.6,12722403.8,"12,702,379",12660246.5,12618114,12575981.5,12533849,12491716.5,12449584,12407451.5,12365319,12323186.5,"12,281,054",12241112.9,12201171.8,"11,881,643"
Rhode Island,"1,056,298",1055551.8,1054805.6,1054059.4,1053313.2,"1,052,567",1052142.2,1051717.4,1051292.6,1050867.8,1050443,1050018.2,1049593.4,1049168.6,1048743.8,"1,048,319",1043833.5,1039348,"1,003,464"
South Carolina,"4,896,146",4841989.6,4787833.2,4733676.8,4679520.4,"4,625,364",4564028.8,4502693.6,4441358.4,4380023.2,4318688,4257352.8,4196017.6,4134682.4,4073347.2,"4,012,012",3959481.1,3906950.2,"3,486,703"
South Dakota,"858,469",849611.2,840753.4,831895.6,823037.8,"814,180",808246.4,802312.8,796379.2,790445.6,784512,778578.4,772644.8,766711.2,760777.6,"754,844",748960,743076,"696,004"
Tennessee,"6,600,299",6549461.2,6498623.4,6447785.6,6396947.8,"6,346,110",6280427.3,6214744.6,6149061.9,6083379.2,6017696.5,5952013.8,5886331.1,5820648.4,5754965.7,"5,689,283",5608073.2,5526863.4,"4,877,185"
Texas,"27,469,114",27004403.4,26539692.8,26074982.2,25610271.6,"25,145,561",24716186.9,24286812.8,23857438.7,23428064.6,22998690.5,22569316.4,22139942.3,21710568.2,21281194.1,"20,851,820",20465289,20078758,"16,986,510"
Utah,"2,995,919",2949512.2,2903105.4,2856698.6,2810291.8,"2,763,885",2710813.4,2657741.8,2604670.2,2551598.6,2498527,2445455.4,2392383.8,2339312.2,2286240.6,"2,233,169",2182137.1,2131105.2,"1,722,850"
Vermont,"626,042",625981.8,625921.6,625861.4,625801.2,"625,741",624049.6,622358.2,620666.8,618975.4,617284,615592.6,613901.2,612209.8,610518.4,"608,827",604220.1,599613.2,"562,758"
Virginia,"8,382,993",8306599.2,8230205.4,8153811.6,8077417.8,"8,001,024",7908773.1,7816522.2,7724271.3,7632020.4,7539769.5,7447518.6,7355267.7,7263016.8,7170765.9,"7,078,515",6989399.3,6900283.6,"6,187,358"
Washington,"7,170,351",7081188.8,6992026.6,6902864.4,6813702.2,"6,724,540",6641498.1,6558456.2,6475414.3,6392372.4,6309330.5,6226288.6,6143246.7,6060204.8,5977162.9,"5,894,121",5791378.1,5688635.2,"4,866,692"
West Virginia,"1,844,128",1845901.6,1847675.2,1849448.8,1851222.4,"1,852,996",1848530.8,1844065.6,1839600.4,1835135.2,1830670,1826204.8,1821739.6,1817274.4,1812809.2,"1,808,344",1806857.3,1805370.6,"1,793,477"
Wisconsin,"5,771,337",5754466.8,5737596.6,5720726.4,5703856.2,"5,686,986",5654654.9,5622323.8,5589992.7,5557661.6,5525330.5,5492999.4,5460668.3,5428337.2,5396006.1,"5,363,675",5316484.4,5269293.8,"4,891,769"
Wyoming,"586,107",581610.8,577114.6,572618.4,568122.2,"563,626",556641.6,549657.2,542672.8,535688.4,528704,521719.6,514735.2,507750.8,500766.4,"493,782",489762.6,485743.2,"453,588"
