"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Occupied Housing Units:","Occupied Housing Units: Gas (Utility, Bottled, Tank, or Lp Gas)","Occupied Housing Units: Electricity","Occupied Housing Units: Fuel Oil, Kerosene, Etc.","Occupied Housing Units: Coal, Coke or Wood","Occupied Housing Units: Solar Energy","Occupied Housing Units: Other Fuel","Occupied Housing Units: No Fuel Used","Workers 16 Years and Over:","Workers 16 Years and Over: Car, Truck, or Van","Workers 16 Years and Over: Drove Alone","Workers 16 Years and Over: Carpooled","Workers 16 Years and Over: Public Transportation (Includes Taxicab)","Workers 16 Years and Over: Motorcycle","Workers 16 Years and Over: Bicycle","Workers 16 Years and Over: Walked","Workers 16 Years and Over: Other Means","Workers 16 Years and Over: Worked at Home","Workers 16 Years and Over:","Workers 16 Years and Over: Did Not Work at Home","Workers 16 Years and Over: Did Not Work at Home: Less than 10 Minutes","Workers 16 Years and Over: Did Not Work at Home: 10 to 19 Minutes","Workers 16 Years and Over: Did Not Work at Home: 20 to 29 Minutes","Workers 16 Years and Over: Did Not Work at Home: 30 to 39 Minutes","Workers 16 Years and Over: Did Not Work at Home: 40 to 59 Minutes","Workers 16 Years and Over: Did Not Work at Home: 60 to 89 Minutes","Workers 16 Years and Over: Did Not Work at Home: 90 or More Minutes","Workers 16 Years and Over: Worked at Home"
"50019","05000US50019","Orleans County, Vermont","Orleans County, Vermont","vt","050","00","ACSSF","0000022",,,,,"50","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27146,27146,39.15656,693.268262246775,11200,1449,195,5950,3438,0,142,26,11874,10478,9417,1061,20,8,30,292,187,859,11874,11015,2412,3337,2298,1316,755,448,449,859
"50021","05000US50021","Rutland County, Vermont","Rutland County, Vermont","vt","050","00","ACSSF","0000023",,,,,"50","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60530,60530,65.09856,929.820820791448,25459,3583,1045,16356,3849,22,570,34,29507,25762,23423,2339,258,44,105,1519,175,1644,29507,27863,6617,9014,5845,3393,1681,702,611,1644
"50023","05000US50023","Washington County, Vermont","Washington County, Vermont","vt","050","00","ACSSF","0000024",,,,,"50","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59132,59132,86.04356,687.233355521338,24512,5617,1088,12582,4812,29,360,24,30961,26091,22858,3233,443,32,100,1924,282,2089,30961,28872,5727,9628,4725,3918,2989,1498,387,2089
"50025","05000US50025","Windham County, Vermont","Windham County, Vermont","vt","050","00","ACSSF","0000025",,,,,"50","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43858,43858,55.84836,785.305087127817,19057,3020,980,9940,4693,38,335,51,21734,17553,15675,1878,220,39,83,1273,136,2430,21734,19304,4249,6375,3477,2606,1493,695,409,2430
"50027","05000US50027","Windsor County, Vermont","Windsor County, Vermont","vt","050","00","ACSSF","0000026",,,,,"50","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56150,56150,57.92621,969.336630131105,24507,5585,1178,12400,4702,50,525,67,27576,23898,21012,2886,276,10,126,1202,122,1942,27576,25634,5298,7138,5481,3746,2883,750,338,1942
"36005","05000US36005","Bronx County, New York","Bronx County, New York","ny","050","00","ACSSF","0000015",,,,,"36","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428357,1428357,33930.7,42.0963000600775,484902,187635,41714,242202,584,169,5180,7418,547961,149417,123500,25917,331682,238,1726,43569,3351,17978,547961,529983,23533,66539,57933,91296,116862,128930,44890,17978
"36047","05000US36047","Kings County, New York","Kings County, New York","ny","050","00","ACSSF","0000036",,,,,"36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595259,2595259,36648.04,70.8157782970423,931786,723236,61954,123594,866,327,9016,12793,1142200,263270,212909,50361,709933,1051,17525,100234,5507,44680,1142200,1097520,41631,121360,126573,219874,294200,220500,73382,44680
"36061","05000US36061","New York County, New York","New York County, New York","ny","050","00","ACSSF","0000043",,,,,"36","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629507,1629507,71379.79,22.828689553774,750419,300577,165680,243291,923,274,21082,18592,867298,69612,53246,16366,538010,733,14547,179198,6452,58746,867298,808552,49707,139008,182678,204436,149128,61431,22164,58746
"36081","05000US36081","Queens County, New York","Queens County, New York","ny","050","00","ACSSF","0000053",,,,,"36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301139,2301139,21202.38,108.532135284024,780644,572671,47922,146324,1115,166,6099,6347,1076754,409145,339813,69332,567422,647,5715,62079,5618,26128,1076754,1050626,32358,123823,125456,216194,250400,214936,87459,26128
"36085","05000US36085","Richmond County, New York","Richmond County, New York","ny","050","00","ACSSF","0000055",,,,,"36","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472481,472481,8094.538,58.3703522950686,165784,146937,6258,11174,240,11,404,760,205922,132739,116160,16579,61549,60,342,5213,1181,4838,205922,201084,11258,38527,27448,27284,30130,40469,25968,4838
