Gender,Year,AdjBoxOffice
m,2007,109347359
m,2010,109311722
f,2005,109165929
m,2011,108945821
f,2001,108712692
m,2011,108416958
m,2004,108306508
m,2002,107931122
m,2008,107871148
m,2010,107675319
m,2012,107557234
m,2009,107552559
m,2004,107550881
m,2007,107282036
m,2002,107269779
m,2012,107246375
m,2012,107142755
m,2014,107136944
f,2006,107056674
m,2003,106282366
f,2011,106089960
m,2005,105998168
m,2011,105984187
m,2004,105913690
m,2004,105787752
m,2010,105711635
m,2011,105561096
m,2003,104989393
m,2008,104776484
m,2006,104695998
m,2011,104503370
m,2006,104341896
f,2009,104337070
m,2001,104278182
m,2013,104164409
m,2009,104115312
f,2010,103966139
m,2013,103960165
m,2007,103839832
m,2013,103653799
f,2003,103567123
m,2002,103301723
m,2010,102875203
m,2002,102640381
m,2010,102547923
m,2001,102262495
m,2010,102111549
m,2014,102011256
m,2000,101826913
m,2014,101709745
m,2005,101124689
f,2004,101002116
m,2013,100998628
f,2005,100881015
m,2014,100604204
m,2010,100584239
m,2005,100515504
m,2009,100345428
m,2005,100271830
m,2008,100023964
m,2002,99862741
m,2006,99620543
f,2000,99616288
m,2006,99502510
m,2002,99333667
m,2012,99164039
m,2010,99056930
m,2001,98903018
f,2009,98571366
m,2003,98007340
m,2004,97853671
m,2004,97727733
m,2005,97713254
m,2000,97129335
f,2012,97091645
m,2012,97091645
m,2006,97023799
m,2013,97015871
m,2010,96984152
m,2004,96972106
f,2006,96905766
m,2002,96820565
m,2003,96455772
m,2006,96315596
m,2013,95075553
f,2001,95006024
m,2004,94831163
m,2012,94812012
m,2004,94705225
m,2006,94663123
m,2006,94663123
m,2000,94642382
m,2010,94584095
m,2001,94468507
m,2007,94316400
m,2007,94316400
m,2005,94301818
f,2002,93910657
f,2000,93813397
m,2015,93759354
m,2011,93714560
m,2000,93675233
m,2009,92916540
m,2004,92816158
f,2005,92474264
m,2001,92452821
m,2010,92402224
m,2013,92216138
m,2014,92161893
m,2005,91986916
f,2002,91926629
m,2007,91906857
m,2014,91860382
m,2008,91734685
m,2008,91734685
m,2013,91194918
m,2013,90888553
f,2013,90888553
m,2015,90747811
m,2016,90500000
m,2014,90453330
m,2011,90435609
m,2000,90359296
m,2012,90045507
f,2012,90045507
m,2004,89919589
m,2014,89749804
m,2008,89745258
m,2001,89496481
m,2006,89233567
m,2011,89166337
m,2010,89020324
m,2002,88884453
f,2008,88640021
m,2009,88592262
m,2008,88529498
f,2008,88418974
f,2005,88331806
m,2011,88320156
m,2011,88320156
f,2011,88320156
m,2002,88223111
f,2009,88148746
m,2012,88076733
f,2010,87929389
m,2008,87424260
m,2011,87368202
m,2004,87023020
f,2003,87017071
m,2006,86990925
m,2010,86838454
m,2014,86634189
m,2012,86626057
m,2014,86332678
m,2014,86232175
m,2002,85974545
m,2006,85928620
f,2005,85895067
m,2003,85724098
m,2003,85724098
m,2006,85692553
m,2009,85598531
m,2002,85577740
m,2013,85373966
m,2007,85137188
f,2013,85067600
m,2011,85041204
f,2003,84948314
f,2014,84925627
m,2002,84916397
m,2008,84882215
m,2015,84825111
m,2001,84793212
m,2013,84761234
f,2014,84724619
f,2014,84724619
m,2004,84630201
f,2011,84618113
m,2011,84512341
f,2014,84322604
m,2006,84276147
m,2010,84220209
f,2004,83874575
m,2009,83824468
m,2008,83776978
m,2011,83771932
m,2001,83718179
m,2005,83580164
f,2009,83380953
m,2010,83347461
f,2000,82898436
m,2012,82895748
m,2006,82859741
m,2005,82849143
m,2014,82815049
m,2006,82741707
m,2006,82741707
m,2004,82741134
m,2007,82612905
m,2012,82584889
m,2011,82502660
m,2007,82498165
f,2003,82362369
m,2011,82079570
m,2005,81874447
m,2004,81859570
m,2012,81859552
m,2009,81274253
m,2004,80978005
f,2009,80941616
f,2007,80432842
m,2005,80290566
m,2012,80098017
m,2011,79964117
m,2011,79964117
f,2011,79964117
m,2008,79908648
m,2010,79638280
m,2009,79611069
m,2000,79168007
m,2009,79056674
m,2001,79014911
m,2008,78582363
m,2011,78483300
m,2014,78392886
m,2005,78341174
m,2001,78208636
m,2003,78095558
m,2011,78060209
m,2005,77853827
m,2008,77587649
m,2008,77366602
m,2008,77366602
m,2011,77214028
m,2013,77204209
m,2006,77076084
f,2003,76931883
m,2003,76802585
m,2011,76473620
m,2007,76416937
m,2004,76318307
m,2005,76269946
m,2006,76131813
m,2015,75991253
m,2015,75991253
f,2005,75904435
m,2012,75745990
m,2009,75730307
m,2006,75423610
m,2003,75380315
m,2005,75051576
m,2002,74996257
m,2001,74983538
m,2006,74833441
f,2004,74681115
f,2011,74675485
m,2013,74651159
m,2006,74597374
f,2006,74597374
m,2009,74399759
m,2008,74382462
m,2002,74334915
m,2004,74303302
f,2004,74177364
f,2001,74042884
m,2001,73908505
m,2006,73771137
m,2010,73747229
m,2009,73623607
f,2006,73535069
m,2004,73295799
f,2013,73119330
m,2001,73102230
m,2014,73066190
m,2005,72980348
m,2001,72833472
f,2013,72812964
m,2004,72792048
m,2004,72666110
m,2007,72630512
m,2009,72625697
m,2015,72578172
m,2013,72506598
m,2013,72506598
m,2003,72147883
m,2009,72071302
m,2011,72031169
m,2006,72000630
f,2013,71995988
f,2008,71950940
m,2014,71860145
m,2006,71646528
m,2002,71557275
m,2004,71532670
m,2014,71357627
m,2008,71287798
m,2015,71273170
m,2015,71273170
m,2009,71073392
m,2000,71016327
