Gender,Year,AdjBoxOffice
m,2007,23292249
m,2005,23270862
m,2009,23173695
m,2009,23173695
m,2002,23146993
m,2014,23115851
m,2010,23018735
m,2008,22988933
m,2013,22977443
m,2000,22935234
m,2004,22920679
m,2011,22846890
f,2005,22783514
m,2002,22750187
m,2009,22730180
f,2010,22691455
f,2000,22658906
f,2008,22657362
m,2011,22635345
m,2011,22635345
m,2003,22627024
m,2007,22603808
m,2005,22539840
m,2011,22529572
m,2011,22529572
m,2006,22426425
m,2004,22416928
m,2012,22381852
m,2003,22368429
m,2002,22353381
m,2002,22353381
m,2008,22325791
f,2005,22296166
m,2000,22244413
f,2006,22190358
m,2012,22174612
m,2001,22172551
m,2006,22072324
m,2006,22072324
f,2013,22058345
f,2010,22036894
m,2013,21956223
m,2013,21956223
m,2013,21956223
f,2006,21954290
m,2005,21930655
m,2008,21883696
m,2010,21818707
f,2007,21800627
f,2001,21769414
m,2009,21732269
f,2007,21685887
f,2009,21621390
f,2006,21600189
m,2011,21577619
f,2002,21559770
f,2007,21456407
m,2008,21441601
m,2004,21409426
m,2004,21409426
m,2011,21366073
f,2007,21341667
f,2004,21283488
m,2008,21220553
f,2004,21157550
m,2003,21075457
m,2009,21066996
m,2009,21066996
m,2012,21034796
f,2004,21031612
m,2002,21030696
m,2006,21010019
m,2007,20997446
m,2003,20946159
m,2010,20945958
f,2002,20898428
m,2007,20882706
f,2001,20828760
m,2012,20827556
f,2004,20779737
m,2005,20712285
m,2001,20694381
m,2007,20653226
m,2011,20625665
m,2005,20590448
m,2000,20586445
m,2001,20560002
m,2008,20557411
m,2006,20537884
f,2006,20537884
m,2013,20526515
m,2014,20502754
m,2000,20448281
f,2003,20428970
m,2004,20401923
m,2009,20401722
m,2002,20369353
m,2005,20346774
m,2000,20310117
m,2006,20301817
m,2010,20291397
m,2001,20291244
m,2004,20275985
m,2002,20237085
m,2000,20171952
m,2013,20118028
m,2007,20079525
f,2003,20041078
f,2011,19991029
f,2011,19991029
m,2010,19964116
m,2003,19911781
m,2010,19855023
m,2010,19855023
m,2006,19829681
m,2013,19811662
m,2005,19737589
m,2005,19737589
m,2013,19709540
f,2012,19687740
m,2003,19653186
m,2004,19646296
m,2007,19620565
m,2005,19615752
m,2005,19615752
m,2006,19593614
m,2002,19575742
f,2010,19418649
f,2010,19418649
m,2007,19391084
m,2005,19372079
m,2011,19356393
f,2008,19341650
f,2016,19300000
m,2005,19250242
m,2008,19231126
m,2008,19120603
m,2012,19066022
m,2012,19066022
m,2012,19066022
f,2002,19046668
f,2001,18947453
m,2007,18932124
m,2014,18894695
f,2006,18885411
m,2009,18849417
m,2002,18782131
f,2012,18755163
m,2007,18702643
f,2012,18651543
m,2012,18651543
m,2006,18649343
m,2005,18641057
m,2009,18627659
m,2007,18587903
m,2006,18531309
m,2002,18517594
m,2009,18516780
m,2000,18513984
m,2000,18513984
m,2000,18513984
m,2011,18510212
m,2016,18500000
m,2001,18409936
m,2001,18409936
f,2016,18400000
m,2002,18385325
f,2013,18381954
m,2003,18360214
m,2001,18275557
m,2004,18260981
f,2003,18230916
m,2005,18153709
f,2012,18133445
f,2006,18059174
m,2005,18031872
m,2004,18009105
m,2002,17988520
m,2013,17973466
m,2012,17926205
m,2008,17904842
m,2014,17889658
m,2004,17883167
f,2011,17875576
f,2013,17871344
f,2013,17871344
m,2009,17851507
m,2006,17823106
f,2013,17769222
m,2004,17757229
m,2009,17740628
m,2009,17740628
f,2009,17740628
m,2002,17723983
m,2012,17718966
m,2006,17705072
m,2006,17705072
m,2004,17631292
m,2001,17603662
m,2001,17603662
m,2004,17505354
m,2014,17487643
m,2010,17454965
m,2014,17387140
m,2013,17360734
m,2008,17352223
m,2008,17352223
m,2001,17334904
m,2002,17327177
m,2000,17270507
m,2011,17240940
m,2006,17232937
f,2007,17211021
m,2007,17211021
m,2009,17186233
m,2006,17114903
m,2012,17097248
m,2004,17001603
m,2001,16931766
m,2002,16930372
m,2006,16878836
m,2004,16875665
m,2009,16853596
m,2016,16800000
m,2008,16799605
m,2012,16786389
f,2012,16786389
m,2000,16717851
f,2003,16679349
f,2002,16665835
f,2001,16663008
m,2001,16663008
m,2009,16631839
m,2012,16579149
m,2005,16569828
m,2001,16528629
m,2004,16497851
m,2013,16441637
m,2013,16441637
m,2009,16410081
m,2007,16407840
f,2008,16357510
m,2008,16357510
m,2003,16291457
m,2011,16288986
m,2006,16170633
m,2012,16164671
m,2004,16120038
f,2014,16080592
m,2015,16061559
m,2004,15994100
m,2001,15991113
m,2007,15948880
m,2007,15948880
m,2006,15934565
m,2010,15927656
f,2000,15888867
f,2014,15879584
f,2011,15865896
m,2009,15855686
f,2006,15816531
m,2009,15744807
m,2008,15694367
m,2003,15644971
m,2013,15624661
m,2005,15595132
m,2012,15542952
m,2012,15542952
m,2013,15522539
f,2000,15474374
m,2001,15453596
m,2012,15439333
m,2004,15364411
m,2006,15344396
m,2006,15344396
m,2001,15319217
m,2009,15301291
m,2007,15260439
f,2008,15252273
m,2005,15229621
m,2005,15229621
f,2001,15184838
m,2007,15145699
m,2006,15108328
m,2005,15107784
m,2009,15079534
m,2008,15031225
m,2014,14975051
f,2002,14946344
f,2012,14921234
m,2003,14869187
m,2004,14860660
m,2012,14817615
m,2008,14810178
f,2011,14808169
m,2001,14781701
m,2006,14754227
f,2014,14673540
f,2009,14636018
f,2011,14596624
m,2008,14589130
m,2007,14571998
m,2006,14518159
m,2001,14512942
m,2005,14498600
m,2004,14482847
m,2014,14472532
m,2015,14455403
f,2009,14414260
m,2012,14403136
m,2010,14400346
m,2011,14385079
m,2008,14368083
m,2007,14342518
m,2005,14254926
m,2005,14254926
f,2001,14244184
m,2007,14227778
f,2012,14195897
f,2002,14152732
m,2004,14105033
m,2014,14070518
m,2011,14067761
m,2008,14036512
m,2008,14036512
m,2011,13961988
m,2012,13885037
m,2009,13859865
m,2015,13752710
f,2015,13752710
m,2011,13750443
m,2004,13727220
m,2006,13691923
f,2013,13684343
m,2005,13645741
f,2008,13594417
m,2012,13574178
m,2006,13573889
m,2009,13527229
m,2002,13491390
m,2002,13491390
m,2013,13480100
f,2004,13475344
f,2006,13455855
f,2007,13424597
m,2007,13424597
m,2005,13402067
f,2005,13402067
f,2002,13359121
m,2002,13359121
m,2006,13337821
f,2011,13327352
f,2001,13303530
f,2001,13303530
m,2012,13263319
f,2012,13263319
f,2008,13262846
m,2008,13262846
f,2006,13219787
m,2010,13200317
f,2009,13194592
m,2003,13188322
m,2001,13169151
m,2000,13125585
m,2006,13101754
m,2004,13097531
m,2010,13091224
m,2006,12983720
m,2010,12982130
m,2004,12971593
f,2012,12952460
m,2012,12848841
m,2004,12845655
m,2008,12820751
f,2003,12800430
f,2015,12748862
m,2014,12663466
m,2007,12621416
f,2007,12621416
m,2008,12599703
f,2011,12586944
m,2002,12565510
m,2002,12565510
m,2010,12545756
m,2015,12447708
f,2000,12434765
m,2006,12393551
m,2008,12378656
m,2015,12347323
m,2005,12305534
m,2005,12305534
m,2005,12305534
m,2013,12254636
m,2015,12246939
m,2005,12183697
f,2008,12157608
f,2009,12085803
m,2002,12036436
m,2010,12000288
m,2008,11936561
m,2007,11932975
m,2007,11932975
m,2007,11932975
m,2006,11921415
f,2012,11812644
m,2012,11812644
m,2006,11803381
m,2006,11803381
m,2006,11803381
m,2009,11753166
m,2009,11753166
m,2007,11703494
m,2016,11700000
f,2000,11605781
m,2013,11539782
f,2003,11507458
m,2010,11454821
m,2009,11420529
m,2007,11359274
m,2004,11334402
f,2004,11334402
m,2011,11317672
f,2009,11309650
m,2009,11309650
m,2002,11242825
m,2009,11198771
f,2001,11153465
m,2013,11131294
m,2007,11129794
m,2009,11087892
f,2004,11082526
m,2002,10978288
m,2006,10977145
m,2013,10927050
m,2007,10900313
f,2016,10900000
m,2011,10894582
m,2004,10830650
m,2014,10753895
m,2014,10753895
m,2013,10722806
m,2013,10722806
m,2011,10683036
f,2011,10683036
m,2011,10683036
m,2014,10653392
m,2008,10610276
m,2003,10602377
m,2005,10599816
m,2002,10581482
m,2007,10556093
m,2007,10556093
m,2014,10552888
m,2014,10552888
m,2008,10499753
m,2010,10472979
f,2014,10452384
m,2007,10441353
m,2009,10422619
m,2009,10422619
f,2010,10363885
m,2010,10363885
m,2000,10362304
m,2005,10356142
f,2004,10200961
m,2009,10200861
m,2009,10200861
m,2005,10112468
m,2005,10112468
m,2009,10089982
m,2000,10085976
f,2004,10075024
f,2011,10048401
