"Data Source","World Development Indicators",

"Last Updated Date","2017-04-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.3812596351","16586.1922970903","17927.4120263906","19081.570288414","19356.4208651472","20619.5658496388","20671.545738502","20433.6541088167","20834.9397101237","22566.6821576324","23302.8319880055","24015.4206122701","25921.5382341406","27549.8894224976","24640.4212441218","24289.1415161326","25353.7875446441","","","","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7876806182323","59.8900370439272","58.5059949855131","78.8025868928114","82.2313944485018","101.321627039285","137.946782954494","161.384701674071","129.562318372974","129.857378095621","157.258460703612","160.443151707287","136.175611318523","144.173944355103","175.027097668921","188.085136094081","199.16480930329","226.196426605461","249.57370988274","278.390630025236","275.649818656436","267.662423566787","","","","","","","","","","","","","","","","","","","","119.899018754608","192.153653041771","203.650833206291","224.914869067855","257.175694454209","280.245644106914","380.400955186598","384.131681276838","458.955781585831","569.940728793286","622.379654358451","690.842629014956","653.347488111011","633.947864294639","594.323081219966","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","685.925974354129","666.86871899694","649.881309005116","633.907333685506","926.600626625954","901.047367368098","1056.34833995487","479.728722331337","430.985155680534","320.935890339867","386.389752097292","560.636979115993","554.155235569038","454.269351760518","421.375846210773","606.269625354397","574.19416113737","775.765518459716","850.075694129697","1135.60456355085","1576.16280066689","2253.83885003865","3151.02243105289","4242.36306234092","3678.94765447179","3886.47935432524","4744.98762949589","5086.8484258086","5327.14889219232","5232.76230029543","4101.47215182964","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","662.520052309054","662.914792567128","719.157295703914","699.384292086697","676.566732520011","723.409610237851","639.463899289892","348.711317786982","218.492165902633","380.527371084275","619.065163447139","760.559375774093","1046.35851058923","749.584648972451","865.302161845067","1098.42546338936","1175.78898073398","1326.97033929337","1453.64277660853","1890.68155743544","2416.5882350701","2709.14293056201","3005.0129033756","3603.01368536638","4370.53964653148","4114.13654490945","4094.35883191918","4437.8119990258","4247.83985201907","4412.34557813421","4568.56882650826","3945.21758150914","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.15668211608","3498.03679026923","4217.17358114253","5342.35779102408","6321.02379478227","7168.86753002057","7151.47492592244","7751.84330741357","9127.27130828674","11820.5098986083","12378.7845111338","10371.6796784955","9610.75773121963","8023.63645799608","7729.26867034193","7774.91680550151","10362.2615078121","12615.38650805","14305.2078910105","15166.1486853199","18877.8133198897","19531.5062086017","20542.1304474591","16507.8070750726","16227.0420261276","18459.9084034353","19037.5846794547","18404.5594139597","18969.6405869197","19324.4541876733","21432.976460892","21897.8588917179","24174.273191138","31744.2168037792","37233.8319037435","39991.3250691924","42419.4018912335","47255.9552101728","46734.2682819437","42704.0194268188","39641.746008498","41627.4629979063","39666.043036198","42804.2026352761","","","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","222.990549985689","239.34117776889","257.000118223626","290.332365902054","336.151493553786","415.604352650851","772.304836575654","829.640170415671","1001.33074152401","1119.8973840073","1188.93670094082","1558.66612663649","2052.83128584176","2050.5300719291","1849.81876413764","1681.93661713021","1653.95902833124","1585.07892926981","1464.7905905856","1540.60208226202","1473.67376186604","1503.03305446732","2007.18359731277","1922.51088797287","2022.72773845376","1991.53723033545","1985.77416592742","2068.6104682987","2232.38489084336","2316.35312585919","2187.26747594058","2333.00188397303","2607.36531587179","2512.31280251376","2480.08467523922","2740.93729967121","3145.00861115881","3778.77184685642","4374.48920953663","4979.84611172818","6166.08995002316","5202.17464679359","5956.43553101038","6915.48191856449","7410.8414368118","7516.3132247982","7518.43030153594","6542.78514312374","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","27708.718824881","30886.5715046718","34407.9817010251","28735.8039621103","33673.4198182883","42878.8553466332","45131.3357281376","40244.8374937825","35135.8686752241","32655.3719082129","30067.1341943988","23727.6988222675","23953.3405689773","22476.9714947199","24218.5527705875","27989.3012966889","26945.6591464759","26864.1881075461","26141.3306464453","26495.8215612079","27973.7428158486","29813.3723096431","30378.5453428093","27681.310528386","29278.7686208249","34207.5389498903","32105.6478664635","32355.4095972427","34294.8939976005","37179.6818919642","40298.5242178562","42950.1005841305","42913.7840342254","45720.0178979792","32905.0538494054","34341.9112921486","39901.2209155518","41712.3979484395","42986.6646116366","44238.5997740128","40438.7629344394","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1148.57995706663","845.076988776833","1166.31755895322","1272.01055309131","1266.34504459069","1057.75575372189","1136.51807652566","1324.08265425096","1317.48753519866","1366.35455826781","1401.4877379927","2083.97221812887","2824.65102533444","2011.68904032488","1932.59070908312","2112.50101617935","2129.31371505249","2501.48111430387","2738.28462575754","2756.39678818613","2907.75742643498","3530.13166329231","2643.36913309587","2909.5168016203","3595.08613124574","3546.71882015564","3969.32766134127","2375.3392499715","4318.77456755511","5715.50405220247","6798.02716671068","6940.35137539023","7449.48060533628","7373.42740288005","7683.57384790824","8172.66523534306","8248.76471990265","7736.37257792733","7669.27370858434","7170.68969819358","2579.18819898884","3330.42866006847","4251.5653466058","5076.8834404197","5878.78183280066","7193.67541176073","8953.47656361728","8161.46019629171","10276.5132733671","12727.2942400407","12970.1739015416","12977.1309231495","12245.6806734551","13467.4156409228","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636.680689996499","589.002948223927","368.916836793393","356.507351442189","399.751202522265","455.550276086151","503.231969620213","522.522072040184","608.336648730809","596.505996304047","621.424826318947","692.301630888896","779.829626131555","924.464009817761","1181.9684454224","1625.40776912682","2126.61866107184","3080.97095943572","3919.97547381061","2915.5839059087","3124.78401786195","3417.17183599915","3565.5175749254","3716.82892254464","3861.91557044458","3489.12768956995","",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8752.06456776039","8914.52543261668","8639.60041848065","8508.55083985994","8457.2363933979","8980.38132080685","9871.82409566727","12058.4782840679","10353.0088431951","10376.7445223805","11660.9629347964","11554.7358142563","11509.1820904138","11541.6471605027","",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","941.919947089194","1061.66045775735","1307.3964358814","1565.6486631295","1784.41523961237","2000.75202105659","2255.36905692296","2595.02432004414","3070.43932469827","3806.14962148899","4512.53975921609","5415.84790521437","6025.84768834547","6325.24101654719","6575.48049876448","6680.37587040015","7037.93915392855","7514.48367977293","7230.32063651531","7702.6702836369","8027.63113096483","8355.61864319647","8572.37348077816","10094.7590646488","9797.96871277396","10027.8562205839","10382.6309004545","10993.3692472668","12079.8656950416","13599.908857304","15276.0682646698","15786.1728395062","13979.2626925883","13017.3103875487","12817.8415733094","13525.616220134","13342.0849977054","13432.0792079208","13714.7319616988","",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1806.80487639292","1873.45009156626","1851.00778167675","1963.22996587488","2127.1657387955","2276.57495341523","2338.90069302766","2574.67088990526","2718.12417239129","2985.1229621611","3297.78365889097","3487.61492423551","3940.86198055377","4759.9896199305","6469.08398301353","6987.82099458003","7469.20319070347","7757.71557401874","8233.59180395159","9272.75738157274","10186.1282398774","11826.0429014143","12758.6710307245","11510.1432539896","12429.090984006","11434.3544445241","11361.2700179349","11625.5567567271","14261.3351903835","17810.9536070722","18221.6912110476","18836.7805847441","18591.2205236257","17657.2442411201","18079.2639426659","20360.1822127719","21917.7192180061","23522.7787661215","21340.0621127075","20536.4123093012","21665.1154539573","19495.1459333809","20059.4520721372","23440.0053221856","30440.8548786229","33982.9504271591","36084.8589777475","40957.8304392487","49628.1151270179","42715.1322619629","51845.6548605562","62216.5471294133","67646.1038529626","67652.6832146189","62004.7931943463","56290.6468086817","",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2053.80951388476","2375.24267361004","2917.00484403329","3881.34971725077","4619.60172831448","5272.88768233537","5664.70742187183","6794.22094540602","8185.70197122612","9770.17215002269","10843.3617230332","9362.63998455272","9387.67772757838","9514.43183442173","8969.40561792029","9150.00121050104","13051.5556145522","16353.2794264234","17536.2720859964","17426.8635399064","21628.760231013","22356.923917186","24820.2278258852","24023.515467019","25584.9178245938","30252.7946924041","29742.4288063177","26646.8839392444","27289.6307093023","27116.6760790806","24517.2674460147","24489.7355313151","26351.3756769542","32102.9305523558","36693.4026205182","38242.0425174699","40430.993614499","46586.6502529235","51386.3766511975","47654.1872090808","46659.8408181344","51123.5613291663","48333.572726737","50504.7153221994","51322.6399728758","43636.753701877","",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1237.324491677","1209.23749284959","676.15151145252","530.090379806798","436.19055858199","397.198116117247","409.216745216782","505.560573228931","561.910301735455","573.8902561721","655.097432602586","703.671250439944","763.101212220367","883.614008967961","1045.02641527642","1578.36733030667","2473.08577636837","3851.43786871172","5574.60380218613","4950.29479142375","5842.80578358576","7189.69122920765","7393.77187697623","7811.6214184582","7886.45914367274","5497.48841371164","",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","70.3330737707859","71.4694334374862","73.7603276547671","78.8741608924455","86.5716236984791","51.6379367564512","52.4574885176544","55.1129068759763","55.2253855904549","56.0591138522018","70.2125072071903","72.0842713833349","69.5746444664999","84.941087559126","95.2752476613958","114.492166738147","119.746103187866","143.128439579294","155.754575464183","194.702881308037","222.880615514258","228.566369780562","232.437225253669","241.368333855576","213.454201973263","240.87078783205","243.440247406735","221.4835184195","204.838717333417","204.222061777071","201.68765625488","202.693440329919","183.717320379283","155.921602701832","150.802805223128","160.349989322905","137.214102710322","151.532104309971","137.251502794512","121.997730782136","128.635536499035","126.217081308673","115.279880322528","106.016974729214","119.460135012836","140.815135598437","154.924525713107","159.265471311463","182.687801252318","190.394203666589","214.230990840075","240.614483459126","244.19648623151","259.365208150184","286.002335872952","277.068309170914","",
